"QBName","Team","Class","PRating","Completion","Yardage","Rush_Att","Pass_Att","Pass_Int","Fumbles","Pass_TDs","TDs","GamesPlayed"
"Nelson Fishback","Western Kentucky","SO",130.9,72.2222222222222,50.75,10,18,0,0,1,2,4
"Skyler Mornhinweg","Florida","FR",130.676923076923,76.9230769230769,107,0,13,1,0,0,0,1
"Cyler Miles","Washington","FR",130.426086956522,65.625,65.6666666666667,14,32,2,0,3,3,5
"James Franklin","Missouri","SR",130.356923076923,67.6923076923077,311.166666666667,65,195,3,2,14,17,6
"Nate Sudfeld","Indiana","SO",130.292307692308,60,226.8,32,280,9,1,19,20,10
"Kenny Hill","Texas A&M","FR",130.275862068966,72.7272727272727,55,7,22,0,1,1,1,4
"Joel Stave","Wisconsin","SO",130.191240875912,63.1147540983607,193.6,30,244,8,5,16,17,10
"David Fales","San Jose State","SR",129.503286384977,60.3626943005181,317.6,40,386,12,2,22,23,10
"Blake Frohnapfel","Marshall","SO",129.338461538462,78.9473684210526,41.75,7,19,1,0,2,2,3
"David Ash","Texas","JR",128.820338983051,60.9195402298851,304,31,87,2,2,7,8,3
"Cody Kessler","USC","SO",128.623376623377,64.4927536231884,199.090909090909,32,276,6,2,13,14,11
"Terrance Broadway","Louisiana-Lafayette","JR",128.004892966361,64.0909090909091,248.9,107,220,7,8,18,25,10
"P.J. Walker","Temple","FR",126.865517241379,61.6279069767442,245.285714285714,60,172,6,5,15,17,7
"Garrett Grayson","Colorado State","JR",126.778325123153,63.0985915492958,264.090909090909,51,355,8,6,18,19,11
"Matt Johnson","Bowling Green","SO",126.561176470588,65.9003831417624,248.7,79,261,5,2,14,18,10
"Braxton Miller","Ohio State","JR",125.992882562278,67.9775280898876,257.5,103,178,3,6,17,20,8
"Brett Hundley","UCLA","SO",125.066992665037,67.8200692041522,288.6,120,289,8,7,20,27,10
"Brandon Connette","Duke","JR",124.754782608696,62.8571428571429,169.888888888889,90,140,6,3,13,25,9
"Davis Webb","Texas Tech","FR",124.561403508772,61.875,255.555555555556,22,320,9,2,16,16,9
"Kieran McDonagh","Portland State","SO",124.389743589744,46.4285714285714,368,11,28,1,0,1,2,1
"Garrett Gilbert","SMU","SR",124.295559502664,65.6964656964657,405.666666666667,82,481,6,4,21,27,9
"Evan Crower","Stanford","JR",124.2,50,26.5,0,6,0,0,0,0,2
"Clint Chelf","Oklahoma State","SR",124.181308411215,53.448275862069,171.888888888889,40,174,5,1,11,16,9
"Derek Thompson","North Texas","SR",124.171428571429,64.9305555555556,237.4,48,288,11,3,13,16,10
"Terrance Owens","Toledo","SR",124.15724137931,61.71875,195.9,34,256,6,2,13,15,10
"Taylor Kelly","Arizona State","JR",124.021276595745,62.4338624338624,315,92,378,10,1,24,31,10
"John O'Korn","Houston","FR",123.853608247423,61.280487804878,252.8,60,328,6,4,23,24,10
"Darell Garretson","Utah State","FR",123.358778625954,64.1509433962264,237.5,25,106,3,3,6,6,4
"Austyn Carta-Samuels","Vanderbilt","SR",123.086120996441,66.9683257918552,241.625,60,221,7,2,10,15,8
"Brandon Doughty","Western Kentucky","JR",123.014371257485,67.2131147540984,235.2,29,305,14,3,11,11,10
"Tre Roberson","Indiana","SO",122.635460992908,57.3033707865169,94.9,52,89,2,3,9,14,10
"Kevin Hogan","Stanford","JR",122.042804428044,60,197.9,56,215,7,4,13,15,10
"Jordan Lynch","Northern Illinois","SR",121.858385093168,65.5172413793103,348.9,193,290,5,2,21,35,10
"Greg Ward Jr.","Houston","FR",121.821276595745,76.4705882352941,58.4285714285714,30,17,0,0,1,3,6
"Quinn Kaehler","San Diego State","JR",121.693081761006,61.1510791366906,241.777777777778,40,278,6,7,14,14,9
"Josh Woodrum","Liberty","SO",121.461538461538,63.6363636363636,170,4,22,0,0,1,1,1
"Ross Metheny","South Alabama","SR",120.977777777778,62.3481781376518,262.111111111111,86,247,6,3,11,19,9
"Mark Leal","Virginia Tech","JR",120.48,75,36,1,4,0,0,0,0,1
"DeNarius McGhee","Montana State","SR",120.315151515152,62.962962962963,231,6,27,0,0,1,1,1
"Maty Mauk","Missouri","FR",120.271794871795,51.6666666666667,158.714285714286,36,120,2,1,10,11,7
"Taylor Heinicke","Old Dominion","JR",120.206896551724,65.8031088082902,373.75,39,193,5,2,9,11,4
"Bo Wallace","Mississippi","JR",120.08544600939,64.7058823529412,289.6,103,323,5,4,17,21,10
"Chris Brown","Cal Poly","SO",120.054237288136,57.1428571428571,224,24,35,0,2,2,4,2
"Sefo Liufau","Colorado","FR",119.306930693069,63.3720930232558,233.333333333333,30,172,6,0,8,8,6
"Michael Birdsong","James Madison","SO",118.91320754717,69.0476190476191,311,11,42,1,0,3,3,1
"Matt Schilz","Bowling Green","SR",118.907692307692,56.5217391304348,29,3,23,0,0,1,1,6
"Connor Shaw","South Carolina","SR",118.697897897898,61.2612612612613,224.6,111,222,1,5,19,22,10
"Jake Rudock","Iowa","SO",118.425609756098,59.8566308243728,210.4,49,279,9,2,14,19,10
"Chase Rettig","Boston College","SR",118.2544,63.2352941176471,152.9,46,204,4,2,14,14,10
"Nathan Scheelhaase","Illinois","SR",118.049438202247,65.3521126760563,290.5,90,355,10,3,17,21,10
"Fredi Knighten","Arkansas State","SO",117.931428571429,72.7272727272727,29.875,24,11,0,0,1,4,6
"Parks Frazier","Murray State","JR",117.822222222222,100,15.5,1,8,0,0,0,0,2
"Bryn Renner","North Carolina","SR",117.779061371841,65.8008658008658,246,46,231,5,1,10,12,7
"Brett Smith","Wyoming","JR",117.654320987654,63.4271099744246,315,95,391,10,6,21,24,10
"Brian Burrell","Fresno State","JR",117.454545454545,62.5,13.75,3,8,0,0,0,1,4
"Dylan Thompson","South Carolina","JR",117.373913043478,56.4102564102564,96.5714285714286,14,78,3,0,2,4,6
"Andrew McDonald","New Mexico State","SR",117.242895442359,68.5810810810811,239.9,77,296,10,3,13,16,10
"Sean Schroeder","Hawai'i","SR",116.860895522388,59.0443686006826,233.444444444444,42,293,12,4,19,20,9
"Cody Fajardo","Nevada","JR",116.744247787611,67.5925925925926,330.666666666667,128,324,2,4,12,19,9
"Logan Kilgore","Middle Tennessee","SR",116.508724832215,61.8518518518519,179.4,28,270,10,1,13,15,10
"Tyler Stewart","Nevada","FR",116.279069767442,56.7567567567568,55,6,37,2,2,3,3,3
"Robert Council","Morgan State","JR",115.915789473684,57.1428571428571,136,12,7,0,0,1,2,1
"Daniel Collins","Maine","FR",115.666666666667,66.6666666666667,35,0,6,0,0,0,0,1
"Barry Brunetti","Mississippi","SR",115.52,57.1428571428571,59.7777777777778,50,35,0,3,6,10,9
"Connor Halliday","Washington State","JR",115.428571428571,63.7383177570093,332,32,535,19,5,22,22,10
"Nick Marshall","Auburn","JR",115.276623376623,58.3783783783784,235.3,123,185,5,9,9,18,10
"Jake Waters","Kansas State","JR",115.138007380074,60.655737704918,198.6,88,183,6,6,10,14,10
"Casey Cochran","Connecticut","FR",114.883333333333,60,79.8,2,70,3,1,4,4,5
"Tom Savage","Pittsburgh","SR",114.872829131653,60.958904109589,214.4,65,292,7,3,18,20,10
"Jeff Driskel","Florida","JR",114.307692307692,68.8524590163934,171.666666666667,17,61,3,3,2,3,3
"Michael Strauss","Richmond","JR",114.274509803922,64.4444444444444,270,6,45,0,2,2,2,1
"Marcus Wasilewski","Maine","SR",114.041379310345,66.1764705882353,299.5,19,68,3,2,2,3,2
"Christian Hackenberg","Penn State","FR",113.883733333333,58.9665653495441,232.1,46,329,9,5,14,17,10
"Baker Mayfield","Texas Tech","FR",113.739509536785,65.5405405405405,323,71,296,8,9,12,15,7
"Garrett Leatham","North Carolina State","SO",113.371428571429,52.9411764705882,45.6666666666667,4,17,0,0,1,1,2
"Jonathan Perry","UAB","SR",113.057718120805,52.1367521367521,135.5,32,117,5,2,7,8,7
"Michael Eubank","Arizona State","SO",112.975,80,22.25,11,5,0,1,0,2,2
"Sean Goldrich","New Hampshire","SO",112.8,40,94,2,5,1,0,0,0,1
"Philip Nelson","Minnesota","SO",112.681481481481,57.2463768115942,182.875,78,138,4,1,9,15,8
"J.W. Walsh","Oklahoma State","SO",112.608064516129,59.4736842105263,203.375,58,190,5,3,9,12,8
"Gary Nova","Rutgers","JR",112.539682539683,57.2490706319703,216.666666666667,46,269,13,5,18,19,9
"Case McCoy","Texas","SR",112.448,60.6177606177606,167.3,16,259,9,1,8,9,10
"Travis Wilson","Utah","SO",112.010062893082,56.1181434599156,245.888888888889,81,237,16,4,16,21,9
"Devin Gardner","Michigan","JR",111.183732057416,59.9264705882353,287.2,146,272,11,9,15,25,10
"Michael Nebrich","Fordham","JR",111.162264150943,63.8888888888889,349,17,36,0,0,2,2,1
"C.J. Brown","Maryland","SR",110.683783783784,59.4059405940594,248.25,94,202,6,7,8,16,8
"Tucker Carter","UTSA","JR",110.593939393939,72.4137931034483,42.25,4,29,1,0,1,1,4
"Austin Brown","UAB","SO",110.575916230366,54.3859649122807,160.714285714286,20,171,3,3,9,9,7
"Munchie Legaux","Cincinnati","SR",110.258823529412,58.8235294117647,244.5,17,51,3,1,2,3,2
"Caleb Herring","UNLV","SR",109.96855036855,62.9746835443038,230.8,91,316,4,1,17,19,9
"Adam Kennedy","Arkansas State","SR",109.750623441397,68.9285714285714,255,121,280,5,3,9,13,10
"Eric Soza","UTSA","SR",109.716923076923,61.3636363636364,246.9,82,308,9,3,11,15,10
"Connor Cook","Michigan State","SO",109.505063291139,57.8544061302682,180.4,55,261,3,2,14,15,10
"Andy Summerlin","Samford","SR",109.49696969697,65,151,6,60,1,0,3,3,2
"Maxwell Smith","Kentucky","SO",109.272222222222,54.2635658914729,118.285714285714,15,129,1,2,6,6,7
"Taylor Martinez","Nebraska","SR",109.237333333333,62.7272727272727,196,40,110,2,4,10,10,4
"Justin Worley","Tennessee","JR",109.2,55.6122448979592,161.875,19,196,8,1,10,10,8
"Dak Prescott","Mississippi State","SO",109.174545454545,58.4474885844749,251.555555555556,111,219,7,3,7,17,9
"Phillip Butterfield","Arkansas State","SR",108.8,100,14,1,1,0,0,0,0,1
"Jared Goff","California","FR",108.767662565905,60.3921568627451,293.818181818182,59,510,10,9,17,18,11
"Jameill Showers","UTEP","JR",108.722891566265,56.9148936170213,207.857142857143,61,188,4,3,11,15,7
"Cooper Rush","Central Michigan","FR",108.657234726688,55.956678700361,217.888888888889,34,277,14,3,13,14,9
"Jordy Joseph","Tulane","JR",108.4,100,1,0,1,0,0,0,0,0
"Blake Sims","Alabama","JR",108.044444444444,64,27.7142857142857,11,25,0,0,2,2,5
"Tyler Russell","Mississippi State","SR",107.91067961165,65.4320987654321,103.666666666667,22,81,2,3,3,3,6
"Reilly O'Toole","Illinois","JR",107.692307692308,75,35,10,16,1,2,1,1,4
"Mike White","South Florida","FR",106.143209876543,59.2105263157895,163,5,76,5,2,3,3,3
"Trent Hurley","Delaware","JR",105.914285714286,68,159,3,25,2,1,1,1,1
"Ben McLane","Georgia State","SO",105.88275862069,54.9019607843137,57.1666666666667,7,51,1,3,2,2,5
"Kyle Romano","Eastern Kentucky","FR",105.866666666667,66.6666666666667,14,0,3,0,0,0,0,1
"Tyler Benz","Eastern Michigan","JR",105.833070866142,60.6635071090047,163.777777777778,43,211,8,2,10,10,9
"B.J. Denker","Arizona","SR",105.654176072235,59.672131147541,259.7,138,305,4,6,12,23,10
"Connor Wood","Colorado","JR",105.615642458101,53.5031847133758,157.571428571429,22,157,7,2,8,8,6
"Caleb Rowe","Maryland","SO",105.504,48.4615384615385,144.142857142857,20,130,3,3,5,5,5
"Paul Millard","West Virginia","JR",105.237777777778,55.0898203592814,152.428571428571,13,167,6,7,6,6,6
"Anthony Boone","Duke","JR",104.935159817352,63.2183908045977,183.857142857143,45,174,9,1,5,9,7
"Nick Patti","Boise State","FR",104.246153846154,70,19.5,3,10,0,1,0,0,3
"Blake Bell","Oklahoma","JR",104.243835616438,59.9078341013825,176.3,75,217,5,2,11,11,10
"Ford Childress","West Virginia","FR",104.086956521739,57.1428571428571,190,6,63,3,1,3,3,2
"Trevor Siemian","Northwestern","JR",102.859677419355,57.8947368421053,148.8,39,209,7,2,7,7,9
"Brooks Haack","Louisiana-Lafayette","FR",102.84,85.7142857142857,17,3,7,0,0,0,0,3
"Brock Jensen","North Dakota State","SR",102.809523809524,70,170,12,30,1,0,2,3,1
"Devin Combs","Nevada","JR",102.633333333333,61.1111111111111,41,6,18,0,0,1,1,3
"Cody Green","Tulsa","SR",102.401673640167,56.1576354679803,197.857142857143,36,203,6,3,7,8,7
"Taysom Hill","BYU","SO",102.063872255489,52.3809523809524,333.5,165,336,12,3,16,24,10
"Kolton Browning","Louisiana-Monroe","SR",101.335519125683,55.0335570469799,238.375,68,298,8,3,18,19,8
"Marquise Williams","North Carolina","SO",101.071287128713,57.8512396694215,152.625,81,121,4,3,8,12,7
"Brian Bell","Sam Houston State","SR",100.96,40,138,5,15,2,1,2,2,1
"David Piland","Houston","JR",100.853333333333,52.5,125.5,5,40,0,0,1,1,2
"Max Shortell","Jacksonville State","JR",100.234482758621,44.4444444444444,227,2,27,1,0,0,0,1
"Kalen Henderson","Nicholls State","JR",99.7315068493151,56.8627450980392,253,22,51,1,2,0,1,2
"Cole Gautsche","New Mexico","SO",99.7163265306122,44.8717948717949,157.333333333333,118,78,4,4,7,15,9
"Cody Vaz","Oregon State","SR",99.1333333333333,60,23.5,2,10,1,1,0,0,3
"Quinteris Toppings","Alabama St.","FR",99,75,35,2,4,0,0,0,0,1
"Casey Pachall","TCU","SR",98.7666666666667,59.1623036649215,200.666666666667,25,191,7,2,4,4,6
"Ronnie Bell","Georgia State","SO",98.7478723404255,49.8422712933754,218.8,59,317,10,2,14,15,10
"Colin Reardon","Kent State","FR",98.6869565217391,58.5365853658537,202.7,81,287,9,4,11,13,10
"Logan Thomas","Virginia Tech","SR",98.3699604743083,58.2872928176796,268.454545454545,144,362,12,4,15,19,11
"Terrel Hunt","Syracuse","SO",98.205,58.3815028901734,148.666666666667,67,173,7,4,7,11,9
"Taylor McHargue","Rice","SR",98.0955056179775,52.4390243902439,210.5,110,246,8,3,13,18,10
"Taylor Davis","Idaho","SR",98.0169696969697,45.8646616541353,229.25,32,133,3,1,6,9,4
"Tyler Jones","Texas State","FR",97.8139534883721,63.7037037037037,185.714285714286,80,135,4,1,7,7,7
"Lyle Negron","Stony Brook","SR",97.7357142857143,52.0833333333333,323,8,48,2,0,2,2,1
"Craig Harrison","Utah State","JR",97.7038961038961,47.6923076923077,74.6666666666667,12,65,0,2,2,2,3
"David Fisher","Kent State","SR",97.5737704918033,48.8372093023256,76,18,43,0,1,2,2,5
"Logan Woodside","Toledo","FR",97.4553191489362,51.219512195122,64,6,41,0,0,1,1,4
"Brandon Allen","Arkansas","SO",97.4514767932489,46.6981132075472,143.333333333333,25,212,8,2,11,12,9
"Greg McGhee","Howard","JR",97.1739130434783,59.375,275,14,32,2,0,1,2,1
"Tyler Murphy","Florida","JR",97.1414634146342,60.5405405405405,159.625,61,185,5,6,6,9,7
"Brogan Roback","Eastern Michigan","FR",97.1348837209302,44.1558441558442,84,9,77,3,1,3,4,6
"Tim Tancik","Northern Colorado","SR",96.85,55.1724137931034,163,3,29,1,0,1,1,1
"D.J. Williams","Grambling","JR",96.8296296296296,45.8333333333333,141,3,24,0,0,1,1,1
"Ryan Higgins","Louisiana Tech","FR",96.7798561151079,60.8888888888889,210.285714285714,53,225,9,4,5,8,7
"Jeff Lockie","Oregon","FR",96.7058823529412,61.5384615384615,12.1428571428571,4,13,1,0,0,1,4
"Justin Holman","UCF","FR",96.6947368421053,61.5384615384615,54,6,13,1,0,1,1,2
"Zach Terrell","Western Michigan","FR",96.1954198473283,53.3333333333333,181,37,225,8,5,8,8,8
"John Robertson","Villanova","SO",95.9684210526316,64,252,13,25,2,1,1,1,1
"Kyle Pohl","Akron","SO",95.7029345372461,55.4959785522788,206.454545454545,70,373,10,4,11,14,11
"Deon Anthony","Troy","SR",95.6981132075472,57.8947368421053,78.8888888888889,68,38,0,1,3,6,9
"Jalen Whitlow","Kentucky","SO",95.5022900763359,62.0253164556962,149.9,104,158,5,4,5,11,10
"Pete Thomas","North Carolina State","JR",95.4608150470219,60.3238866396761,203.333333333333,72,247,9,3,4,6,9
"Wynrick Smothers","Central Arkansas","SR",95.28,60,298,10,55,3,0,2,3,1
"Scott Lathrop","Southeast Missouri State","SO",95.1052631578947,66.6666666666667,185,14,24,1,0,2,2,1
"Patton Robinette","Vanderbilt","FR",94.8816326530612,57.3770491803279,75.1428571428571,37,61,3,0,2,6,6
"Tanner Price","Wake Forest","SR",94.7270072992701,55.7993730407524,211.7,92,319,8,4,12,15,10
"Daniel Sams","Kansas State","SO",94.0123076923077,73.0769230769231,123.6,143,52,4,4,4,15,10
"Clint Trickett","West Virginia","JR",93.9021834061135,52.0408163265306,175.571428571429,33,196,5,8,5,6,7
"Trevone Boykin","TCU","SO",93.3747292418773,59.4285714285714,136.090909090909,102,175,7,8,6,13,11
"Jerry Lovelocke","Prairie View A&M","JR",93.1703703703704,59.2592592592593,109,0,27,0,0,0,0,1
"Nick Montana","Tulane","JR",92.958273381295,53.3613445378151,173.25,40,238,9,3,10,10,8
"Sam Richardson","Iowa State","SO",92.9125,55,175.5,100,220,7,2,11,13,10
"Scotty Young","Louisiana Tech","JR",92.8578947368421,52.4822695035461,111,11,141,1,0,4,4,6
"Tommy Armstrong Jr.","Nebraska","FR",92.846783625731,53.0434782608696,139.571428571429,56,115,7,3,7,9,7
"Aaron Cantu","Southern Utah","JR",92.472131147541,64.8148148148148,143.5,7,54,3,2,1,1,2
"Keenan Reynolds","Navy","SO",92.4049689440994,54.6296296296296,186.6,214,108,2,4,7,26,10
"Kale Pearson","Air Force","JR",92.0363636363636,62.5,61,3,8,0,0,0,0,1
"Ryan Mossakowski","Lamar","SR",92,50,10,0,2,0,0,0,0,1
"Jaquez Johnson","Florida Atlantic","SO",91.5554317548747,57.6744186046512,216.777777777778,144,215,6,6,6,16,9
"Andy Vailas","New Hampshire","JR",91.2923076923077,68.1818181818182,206,17,22,0,3,1,1,1
"Paxton Lynch","Memphis","FR",91.1466666666667,59.6153846153846,183.444444444444,70,260,8,4,6,7,9
"Chas Dodd","Rutgers","SR",90.6232558139535,64.8648648648649,50.5,6,37,1,1,0,0,3
"Anthony Vitto","Eastern Washington","SR",90.6,75,29,2,4,0,0,0,0,1
"Kain Colter","Northwestern","SR",90.4518134715026,77.5,117.555555555556,113,80,3,2,4,9,9
"Jacob Coker","Florida State","SO",90.3478260869565,50,44.1666666666667,10,36,1,0,0,1,6
"Zach Kline","California","FR",90.3105263157895,52.2388059701493,70.8,9,67,3,1,3,3,5
"Mike Perish","Indiana State","JR",90.1772727272727,54.0540540540541,179.5,14,74,2,0,4,4,2
"Allan Bridgford","Southern Mississippi","SR",90.0763636363637,54.1062801932367,175.333333333333,13,207,11,5,6,6,6
"Aaron Bailey","Illinois","FR",90.032,40,10.875,20,5,0,0,1,4,6
"Max Wittek","USC","SO",89.8375,54.1666666666667,43,8,24,1,0,0,1,4
"Bryan Bennett","Southeastern Louisiana","JR",89.6975609756097,52.1739130434783,264,18,23,2,1,1,2,1
"Mitch Leidner","Minnesota","FR",89.3446153846154,59.1836734693878,93.375,81,49,1,6,1,8,8
"Rob Henry","Purdue","SR",89.3436464088398,53.2894736842105,86.8,29,152,6,5,4,6,5
"Trevor Knight","Oklahoma","FR",89.304,47.6190476190476,116.2,37,63,3,2,4,5,5
"Joshua Dobbs","Tennessee","FR",88.6747474747475,59.4936708860759,185.666666666667,20,79,3,2,0,0,3
"Chad Chalich","Idaho","FR",88.4649819494585,61.4130434782609,206.714285714286,93,184,3,4,5,5,7
"Seth Higgins","Morgan State","JR",88.4205128205128,62.5,100.5,15,24,2,1,2,2,2
"Sean Maguire","Florida State","FR",87.8222222222222,57.1428571428571,10.3333333333333,2,7,1,0,1,1,2
"Kramer Berg","Wagner","SR",87.8,50,9,0,2,0,0,0,0,1
"Karson Roberts","Air Force","SO",87.7783783783784,50,62,42,32,2,3,3,5,6
"A.J. Doyle","Massachusetts","SO",87.4865900383142,57.0048309178744,140,54,207,6,6,5,5,9
"Chandler Whitmer","Connecticut","JR",87.2125786163522,55.0387596899225,188,30,129,6,3,5,5,4
"Gavin McCarney","Colgate","SR",87.1675675675676,51.8518518518519,178,10,27,0,0,1,1,1
"Devin Powell","Tulane","FR",87.1628865979381,55.421686746988,66.1666666666667,14,83,4,1,4,4,6
"David Watford","Virginia","SO",87.0055674518201,58.311345646438,209.9,88,379,12,6,7,10,10
