Date,Opponent,Projection,OppFPI,Team
11/14/15,NC State,0.724,11.2,Florida State
11/21/15,Chattanooga,0.977,,Florida State
11/28/15,Florida,0.363,18.2,Florida State
10/10/15,Utah State,0.201,-0.5,Fresno State
10/16/15,UNLV,0.389,-8.4,Fresno State
10/24/15,Air Force,0.122,-1.8,Fresno State
11/5/15,Nevada,0.406,-9.1,Fresno State
11/14/15,Hawaii,0.299,-12.6,Fresno State
11/21/15,BYU,0.047,6.9,Fresno State
11/28/15,Colorado State,0.365,-7,Fresno State
10/10/15,Tennessee,0.481,17.6,Georgia
10/17/15,Missouri,0.864,7.5,Georgia
10/31/15,Florida,0.534,18.2,Georgia
11/7/15,Kentucky,0.886,5.4,Georgia
11/14/15,Auburn,0.69,10.4,Georgia
11/21/15,Georgia Southern,0.917,2.5,Georgia
11/28/15,Georgia Tech,0.554,15.3,Georgia
10/17/15,New Mexico State,0.951,-16.8,Georgia Southern
10/22/15,Appalachian State,0.404,2.9,Georgia Southern
10/29/15,Texas State,0.893,-11,Georgia Southern
11/14/15,Troy,0.879,-15,Georgia Southern
11/21/15,Georgia,0.083,19.6,Georgia Southern
11/28/15,South Alabama,0.944,-17.9,Georgia Southern
12/5/15,Georgia State,0.942,-18,Georgia Southern
10/10/15,Appalachian State,0.098,2.9,Georgia State
10/17/15,Ball State,0.118,-4.4,Georgia State
10/31/15,Arkansas State,0.105,-2.8,Georgia State
11/7/15,Louisiana Lafayette,0.347,-9.8,Georgia State
11/14/15,Texas State,0.219,-11,Georgia State
11/21/15,South Alabama,0.569,-17.9,Georgia State
11/27/15,Troy,0.451,-15,Georgia State
12/5/15,Georgia Southern,0.058,2.5,Georgia State
10/10/15,Clemson,0.336,18.3,Georgia Tech
10/17/15,Pittsburgh,0.774,8.1,Georgia Tech
10/24/15,Florida State,0.554,16.2,Georgia Tech
10/31/15,Virginia,0.847,-1.7,Georgia Tech
11/12/15,Virginia Tech,0.722,10.2,Georgia Tech
11/21/15,Miami (FL),0.587,9.7,Georgia Tech
11/28/15,Georgia,0.446,19.6,Georgia Tech
10/10/15,San Diego State,0.488,-7,Hawaii
10/17/15,New Mexico,0.263,-9.8,Hawaii
10/24/15,Nevada,0.262,-9.1,Hawaii
10/31/15,Air Force,0.355,-1.8,Hawaii
11/7/15,UNLV,0.242,-8.4,Hawaii
11/14/15,Fresno State,0.701,-14.9,Hawaii
11/21/15,San Josí€Œ© State,0.403,-4.4,Hawaii
11/28/15,Louisiana Monroe,0.615,-10.1,Hawaii
10/8/15,SMU,0.909,-11.1,Houston
10/16/15,Tulane,0.832,-10.4,Houston
10/24/15,UCF,0.793,-9.1,Houston
10/31/15,Vanderbilt,0.634,3.8,Houston
11/7/15,Cincinnati,0.655,3.3,Houston
11/14/15,Memphis,0.568,5.9,Houston
11/21/15,Connecticut,0.754,-9.3,Houston
11/27/15,Navy,0.665,3.2,Houston
10/17/15,Troy,0.3,-15,Idaho
10/24/15,Louisiana Monroe,0.361,-10.1,Idaho
10/31/15,New Mexico State,0.336,-16.8,Idaho
11/7/15,South Alabama,0.312,-17.9,Idaho
11/14/15,Appalachian State,0.104,2.9,Idaho
11/21/15,Auburn,0.017,10.4,Idaho
11/28/15,Texas State,0.368,-11,Idaho
10/10/15,Iowa,0.298,9.9,Illinois
10/24/15,Wisconsin,0.429,11.8,Illinois
10/31/15,Penn State,0.394,6,Illinois
11/7/15,Purdue,0.629,-1.3,Illinois
11/14/15,Ohio State,0.172,21.2,Illinois
11/21/15,Minnesota,0.546,1.1,Illinois
11/28/15,Northwestern,0.351,10.5,Illinois
10/10/15,Penn State,0.291,6,Indiana
10/17/15,Rutgers,0.728,-3.3,Indiana
10/24/15,Michigan State,0.139,13.9,Indiana
11/7/15,Iowa,0.374,9.9,Indiana
11/14/15,Michigan,0.198,15.9,Indiana
11/21/15,Maryland,0.626,-5.6,Indiana
11/28/15,Purdue,0.513,-1.3,Indiana
10/10/15,Illinois,0.702,5.6,Iowa
10/17/15,Northwestern,0.403,10.5,Iowa
10/31/15,Maryland,0.919,-5.6,Iowa
11/7/15,Indiana,0.626,1.7,Iowa
11/14/15,Minnesota,0.802,1.1,Iowa
11/21/15,Purdue,0.845,-1.3,Iowa
11/27/15,Nebraska,0.436,8,Iowa
10/10/15,Texas Tech,0.156,12.1,Iowa State
10/17/15,TCU,0.086,24,Iowa State
10/24/15,Baylor,0.029,27,Iowa State
10/31/15,Texas,0.511,4.4,Iowa State
11/7/15,Oklahoma,0.054,22.1,Iowa State
11/14/15,Oklahoma State,0.242,13.7,Iowa State
11/21/15,Kansas State,0.181,11.1,Iowa State
11/28/15,West Virginia,0.093,16.9,Iowa State
10/10/15,Baylor,0.009,27,Kansas
10/17/15,Texas Tech,0.051,12.1,Kansas
10/24/15,Oklahoma State,0.019,13.7,Kansas
10/31/15,Oklahoma,0.015,22.1,Kansas
11/7/15,Texas,0.061,4.4,Kansas
11/14/15,TCU,0.006,24,Kansas
11/21/15,West Virginia,0.03,16.9,Kansas
11/28/15,Kansas State,0.054,11.1,Kansas
10/10/15,TCU,0.23,24,Kansas State
10/17/15,Oklahoma,0.27,22.1,Kansas State
10/24/15,Texas,0.573,4.4,Kansas State
11/5/15,Baylor,0.172,27,Kansas State
11/14/15,Texas Tech,0.394,12.1,Kansas State
11/21/15,Iowa State,0.819,1.4,Kansas State
11/28/15,Kansas,0.946,-14.9,Kansas State
12/5/15,West Virginia,0.427,16.9,Kansas State
10/10/15,Toledo,0.058,7.5,Kent State
10/17/15,Massachusetts,0.31,-9.2,Kent State
10/24/15,Bowling Green,0.248,-1.1,Kent State
11/5/15,Buffalo,0.479,-8.6,Kent State
11/10/15,Ohio,0.147,-1.2,Kent State
11/18/15,Central Michigan,0.343,-4.8,Kent State
11/27/15,Akron,0.322,-8.7,Kent State
10/15/15,Auburn,0.437,10.4,Kentucky
10/24/15,Mississippi State,0.201,14.3,Kentucky
10/31/15,Tennessee,0.239,17.6,Kentucky
11/7/15,Georgia,0.114,19.6,Kentucky
11/14/15,Vanderbilt,0.469,3.8,Kentucky
11/21/15,Charlotte,0.962,-18.3,Kentucky
11/28/15,Louisville,0.441,9.9,Kentucky
10/10/15,Texas State,0.589,-11,Louisiana Lafayette
10/20/15,Arkansas State,0.241,-2.8,Louisiana Lafayette
10/31/15,Louisiana Monroe,0.609,-10.1,Louisiana Lafayette
11/7/15,Georgia State,0.653,-18,Louisiana Lafayette
11/12/15,South Alabama,0.657,-17.9,Louisiana Lafayette
11/21/15,New Mexico State,0.759,-16.8,Louisiana Lafayette
11/28/15,Appalachian State,0.11,2.9,Louisiana Lafayette
12/5/15,Troy,0.722,-15,Louisiana Lafayette
10/10/15,Tulsa,0.243,-3.6,Louisiana Monroe
10/17/15,Appalachian State,0.23,2.9,Louisiana Monroe
10/24/15,Idaho,0.639,-18.9,Louisiana Monroe
10/31/15,Louisiana Lafayette,0.391,-9.8,Louisiana Monroe
11/7/15,Troy,0.562,-15,Louisiana Monroe
11/14/15,Arkansas State,0.352,-2.8,Louisiana Monroe
11/19/15,Texas State,0.437,-11,Louisiana Monroe
11/28/15,Hawaii,0.385,-12.6,Louisiana Monroe
12/5/15,New Mexico State,0.771,-16.8,Louisiana Monroe
10/10/15,Texas San Antonio,0.916,-15,Louisiana Tech
10/17/15,Mississippi State,0.241,14.3,Louisiana Tech
10/24/15,Middle Tennessee,0.678,4.3,Louisiana Tech
10/30/15,Rice,0.854,-9.8,Louisiana Tech
11/7/15,North Texas,0.98,-21.4,Louisiana Tech
11/21/15,UTEP,0.953,-19.3,Louisiana Tech
11/28/15,Southern Mississippi,0.833,-3,Louisiana Tech
10/17/15,Florida State,0.273,16.2,Louisville
10/24/15,Boston College,0.79,2.3,Louisville
10/30/15,Wake Forest,0.793,-3.9,Louisville
11/7/15,Syracuse,0.813,1.1,Louisville
11/14/15,Virginia,0.854,-1.7,Louisville
11/21/15,Pittsburgh,0.469,8.1,Louisville
11/28/15,Kentucky,0.559,5.4,Louisville
9/5/15,McNeese State,0.994,,LSU
10/10/15,South Carolina,0.819,5.2,LSU
10/17/15,Florida,0.662,18.2,LSU
10/24/15,Western Kentucky,0.859,8.5,LSU
11/7/15,Alabama,0.327,23.9,LSU
11/14/15,Arkansas,0.755,14.4,LSU
11/21/15,Ole Miss,0.33,22.6,LSU
11/28/15,Texas A&M,0.564,21.4,LSU
10/9/15,Southern Mississippi,0.645,-3,Marshall
10/17/15,Florida Atlantic,0.672,-10.2,Marshall
10/24/15,North Texas,0.944,-21.4,Marshall
10/31/15,Charlotte,0.853,-18.3,Marshall
11/7/15,Middle Tennessee,0.239,4.3,Marshall
11/14/15,Florida Intl,0.75,-6.8,Marshall
11/27/15,Western Kentucky,0.204,8.5,Marshall
10/10/15,Ohio State,0.027,21.2,Maryland
10/24/15,Penn State,0.223,6,Maryland
10/31/15,Iowa,0.081,9.9,Maryland
11/7/15,Wisconsin,0.151,11.8,Maryland
11/14/15,Michigan State,0.061,13.9,Maryland
11/21/15,Indiana,0.374,1.7,Maryland
11/28/15,Rutgers,0.355,-3.3,Maryland
10/10/15,Bowling Green,0.205,-1.1,Massachusetts
10/17/15,Kent State,0.69,-12.8,Massachusetts
10/24/15,Toledo,0.16,7.5,Massachusetts
10/31/15,Ball State,0.276,-4.4,Massachusetts
11/7/15,Akron,0.573,-8.7,Massachusetts
11/14/15,Eastern Michigan,0.595,-15.4,Massachusetts
11/21/15,Miami (OH),0.811,-18,Massachusetts
11/27/15,Buffalo,0.398,-8.6,Massachusetts
10/17/15,Ole Miss,0.175,22.6,Memphis
10/23/15,Tulsa,0.692,-3.6,Memphis
10/31/15,Tulane,0.913,-10.4,Memphis
11/7/15,Navy,0.672,3.2,Memphis
11/14/15,Houston,0.432,5.1,Memphis
11/21/15,Temple,0.375,6.7,Memphis
11/28/15,SMU,0.918,-11.1,Memphis
10/10/15,Florida State,0.249,16.2,Miami (FL)
10/17/15,Virginia Tech,0.576,10.2,Miami (FL)
10/24/15,Clemson,0.338,18.3,Miami (FL)
10/31/15,Duke,0.46,7.8,Miami (FL)
11/7/15,Virginia,0.857,-1.7,Miami (FL)
11/14/15,North Carolina,0.295,13.6,Miami (FL)
11/21/15,Georgia Tech,0.413,15.3,Miami (FL)
11/27/15,Pittsburgh,0.441,8.1,Miami (FL)
10/10/15,Ohio,0.086,-1.2,Miami (OH)
10/17/15,Northern Illinois,0.175,-2.5,Miami (OH)
10/24/15,Western Michigan,0.093,-2,Miami (OH)
10/29/15,Buffalo,0.311,-8.6,Miami (OH)
11/7/15,Eastern Michigan,0.502,-15.4,Miami (OH)
11/14/15,Akron,0.308,-8.7,Miami (OH)
11/21/15,Massachusetts,0.189,-9.2,Miami (OH)
10/10/15,Northwestern,0.728,10.5,Michigan
10/17/15,Michigan State,0.633,13.9,Michigan
10/31/15,Minnesota,0.807,1.1,Michigan
11/7/15,Rutgers,0.937,-3.3,Michigan
11/14/15,Indiana,0.802,1.7,Michigan
11/21/15,Penn State,0.669,6,Michigan
11/28/15,Ohio State,0.419,21.2,Michigan
10/10/15,Rutgers,0.829,-3.3,Michigan State
10/17/15,Michigan,0.367,15.9,Michigan State
10/24/15,Indiana,0.861,1.7,Michigan State
11/7/15,Nebraska,0.619,8,Michigan State
11/14/15,Maryland,0.939,-5.6,Michigan State
11/21/15,Ohio State,0.229,21.2,Michigan State
11/28/15,Penn State,0.786,6,Michigan State
10/10/15,Western Kentucky,0.306,8.5,Middle Tennessee
10/17/15,Florida Intl,0.853,-6.8,Middle Tennessee
10/24/15,Louisiana Tech,0.322,7.5,Middle Tennessee
11/7/15,Marshall,0.761,-1.2,Middle Tennessee
11/14/15,Florida Atlantic,0.798,-10.2,Middle Tennessee
11/21/15,North Texas,0.971,-21.4,Middle Tennessee
11/28/15,Texas San Antonio,0.875,-15,Middle Tennessee
10/10/15,Purdue,0.485,-1.3,Minnesota
10/17/15,Nebraska,0.378,8,Minnesota
10/31/15,Michigan,0.193,15.9,Minnesota
11/7/15,Ohio State,0.049,21.2,Minnesota
11/14/15,Iowa,0.198,9.9,Minnesota
11/21/15,Illinois,0.454,5.6,Minnesota
11/28/15,Wisconsin,0.274,11.8,Minnesota
10/10/15,Troy,0.98,-15,Mississippi State
10/17/15,Louisiana Tech,0.759,7.5,Mississippi State
10/24/15,Kentucky,0.799,5.4,Mississippi State
11/5/15,Missouri,0.616,7.5,Mississippi State
11/14/15,Alabama,0.306,23.9,Mississippi State
11/21/15,Arkansas,0.41,14.4,Mississippi State
11/28/15,Ole Miss,0.332,22.6,Mississippi State
10/10/15,Florida,0.288,18.2,Missouri
10/17/15,Georgia,0.136,19.6,Missouri
10/24/15,Vanderbilt,0.525,3.8,Missouri
11/5/15,Mississippi State,0.384,14.3,Missouri
11/14/15,BYU,0.546,6.9,Missouri
11/21/15,Tennessee,0.295,17.6,Missouri
11/27/15,Arkansas,0.236,14.4,Missouri
10/10/15,Notre Dame,0.078,20.6,Navy
10/24/15,Tulane,0.902,-10.4,Navy
10/31/15,South Florida,0.842,-7.2,Navy
11/7/15,Memphis,0.328,5.9,Navy
11/14/15,SMU,0.898,-11.1,Navy
11/21/15,Tulsa,0.598,-3.6,Navy
11/27/15,Houston,0.335,5.1,Navy
12/12/15,Army,0.841,-10.8,Navy
10/9/15,Virginia Tech,0.451,10.2,NC State
10/24/15,Wake Forest,0.846,-3.9,NC State
10/31/15,Clemson,0.371,18.3,NC State
11/7/15,Boston College,0.67,2.3,NC State
11/14/15,Florida State,0.276,16.2,NC State
11/21/15,Syracuse,0.831,1.1,NC State
11/28/15,North Carolina,0.503,13.6,NC State
10/10/15,Wisconsin,0.472,11.8,Nebraska
10/17/15,Minnesota,0.622,1.1,Nebraska
10/24/15,Northwestern,0.515,10.5,Nebraska
10/31/15,Purdue,0.651,-1.3,Nebraska
11/7/15,Michigan State,0.381,13.9,Nebraska
11/14/15,Rutgers,0.718,-3.3,Nebraska
11/27/15,Iowa,0.564,9.9,Nebraska
10/10/15,New Mexico,0.618,-9.8,Nevada
10/17/15,Wyoming,0.691,-19,Nevada
10/24/15,Hawaii,0.738,-12.6,Nevada
11/5/15,Fresno State,0.594,-14.9,Nevada
11/14/15,San Josí€Œ© State,0.444,-4.4,Nevada
11/21/15,Utah State,0.198,-0.5,Nevada
11/28/15,San Diego State,0.351,-7,Nevada
10/10/15,Nevada,0.382,-9.1,New Mexico
10/17/15,Hawaii,0.737,-12.6,New Mexico
10/24/15,San Josí€Œ© State,0.257,-4.4,New Mexico
11/7/15,Utah State,0.347,-0.5,New Mexico
11/14/15,Boise State,0.026,15.4,New Mexico
11/21/15,Colorado State,0.503,-7,New Mexico
11/28/15,Air Force,0.341,-1.8,New Mexico
10/10/15,Ole Miss,0.005,22.6,New Mexico State
10/17/15,Georgia Southern,0.049,2.5,New Mexico State
10/24/15,Troy,0.559,-15,New Mexico State
10/31/15,Idaho,0.664,-18.9,New Mexico State
11/7/15,Texas State,0.252,-11,New Mexico State
11/21/15,Louisiana Lafayette,0.241,-9.8,New Mexico State
11/28/15,Arkansas State,0.192,-2.8,New Mexico State
12/5/15,Louisiana Monroe,0.229,-10.1,New Mexico State
10/17/15,Wake Forest,0.93,-3.9,North Carolina
10/24/15,Virginia,0.899,-1.7,North Carolina
10/29/15,Pittsburgh,0.582,8.1,North Carolina
11/7/15,Duke,0.742,7.8,North Carolina
11/14/15,Miami (FL),0.705,9.7,North Carolina
11/21/15,Virginia Tech,0.514,10.2,North Carolina
11/28/15,NC State,0.497,11.2,North Carolina
10/10/15,Portland State,0.635,,North Texas
10/15/15,Western Kentucky,0.037,8.5,North Texas
10/24/15,Marshall,0.056,-1.2,North Texas
10/31/15,Texas San Antonio,0.356,-15,North Texas
11/7/15,Louisiana Tech,0.02,7.5,North Texas
11/14/15,Tennessee,0.006,17.6,North Texas
11/21/15,Middle Tennessee,0.029,4.3,North Texas
11/28/15,UTEP,0.529,-19.3,North Texas
10/10/15,Ball State,0.638,-4.4,Northern Illinois
10/17/15,Miami (OH),0.825,-18,Northern Illinois
10/24/15,Eastern Michigan,0.87,-15.4,Northern Illinois
11/3/15,Toledo,0.175,7.5,Northern Illinois
11/11/15,Buffalo,0.604,-8.6,Northern Illinois
11/18/15,Western Michigan,0.565,-2,Northern Illinois
11/24/15,Ohio,0.542,-1.2,Northern Illinois
10/10/15,Michigan,0.272,15.9,Northwestern
10/17/15,Iowa,0.597,9.9,Northwestern
10/24/15,Nebraska,0.485,8,Northwestern
11/7/15,Penn State,0.742,6,Northwestern
